id,style,code
1,CR200J,CR200J-1001
2,CR200J,CR200J-1002
3,CR200J,CR200J-1003
4,CR200J,CR200J-1004
5,CR200J,CR200J-1005
6,CR200J,CR200J-1008
7,CR200J,CR200J-1009
8,CR200J,CR200J-1028
9,CR200J,CR200J-1029
10,CR200J,CR200J-1034
11,CR200J,CR200J-1035
12,CR200J,CR200J-1036
13,CR200J,CR200J-1037
14,CR200J,CR200J-1038
15,CR200J,CR200J-1039
16,CR200J,CR200J-1042
17,CR200J,CR200J-1043
18,CR200J,CR200J-1044
19,CR200J,CR200J-1046
20,CR200J,CR200J-1049
21,CR200J,CR200J-1051
22,CR200J,CR200J-1052
23,CR200J,CR200J-1053
24,CR200J,CR200J-1054
25,CR200J,CR200J-1056
26,CR200J,CR200J-1057
27,CR200J,CR200J-1058
28,CR200J,CR200J-1059
29,CR200J,CR200J-1060
30,CR200J,CR200J-1068
31,CR200J,CR200J-1071
32,CR200J,CR200J-1072
33,CR200J,CR200J-1073
34,CR200J,CR200J-1074
35,CR200J,CR200J-1075
36,CR200J,CR200J-1077
37,CR200J,CR200J-1078
38,CR200J,CR200J-1080
39,CR200J,CR200J-1088
40,CR200J,CR200J-1089
41,CR200J,CR200J-1090
42,CR200J,CR200J-1091
43,CR200J,CR200J-1092
44,CR200J,CR200J-1093
45,CR200J,CR200J-1094
46,CR200J,CR200J-1098
47,CR200J,CR200J-1099
48,CR200J,CR200J-1100
49,CR200J,CR200J-1104
50,CR200J,CR200J-1105
51,CR200J,CR200J-1108
52,CR200J,CR200J-2001
53,CR200J,CR200J-2002
54,CR200J,CR200J-2003
55,CR200J,CR200J-2004
56,CR200J,CR200J-2005
57,CR200J,CR200J-2007
58,CR200J,CR200J-2009
59,CR200J,CR200J-2011
60,CR200J,CR200J-2012
61,CR200J,CR200J-2013
62,CR200J,CR200J-2014
63,CR200J,CR200J-2015
64,CR200J,CR200J-2016
65,CR200J,CR200J-2017
66,CR200J,CR200J-2019
67,CR200J,CR200J-2021
68,CR200J,CR200J-2025
69,CR200J,CR200J-2026
70,CR200J,CR200J-2027
71,CR200J,CR200J-2028
72,CR200J,CR200J-2031
73,CR200J,CR200J-2036
74,CR200J,CR200J-2037
75,CR200J,CR200J-2038
76,CR200J,CR200J-2039
77,CR200J,CR200J-2041
78,CR200J,CR200J-2042
79,CR200J,CR200J-2048
80,CR200J,CR200J-2049
81,CR200J,CR200J-2050
82,CR200J,CR200J-2051
83,CR200J,CR200J-2052
84,CR200J,CR200J-2054
85,CR200J,CR200J-2055
86,CR200J,CR200J-2056
87,CR200J,CR200J-2057
88,CR200J,CR200J-2058
89,CR200J,CR200J-2060
90,CR200J,CR200J-2063
91,CR200J,CR200J-2070
92,CR200J,CR200J-2073
93,CR200J,CR200J-2074
94,CR200J,CR200J-2083
95,CR200J,CR200J-3002
96,CR200J,CR200J-3004
97,CR200J,CR200J-3006
98,CR200J,CR200J-4001
99,CR200J,CR200J-4002
100,CR200J,CR200J-4004
101,CR200J,CR200J-4005
102,CR200J,CR200J-4006
103,CR200J,CR200J-4008
104,CR200J,CR200J-5001
105,CR200J,CR200J-5002
106,CR200J,CR200J-5003
107,CR200J,CR200J-5004
108,CR200J,CR200J-5005
109,CR200J,CR200J-5006
110,CR200J,CR200J-5007
111,CR200J,CR200J-5009
112,CR200J,CR200J-5010
113,CR200J,CR200J-5012
114,CR200J,CR200J-5013
115,CR200J,CR200J-5015
116,CR200J,CR200J-5016
117,CR200J,CR200J-5017
118,CR200J,CR200J-5018
119,CR200J,CR200J-6002
120,CR200J,CR200J-6003
121,CR200J,CR200J-6004
122,CR200J,CR200J-6006
123,CR200J,CR200J-6007
124,CR200J,CR200J-6008
125,CR200J,CR200J-6009
126,CR200J,CR200J-6010
127,CR200J,CR200J-6011
128,CR200J,CR200J-6013
129,CR200J,CR200J-6014
130,CR200J,CR200J-6015
131,CR200J,CR200J-6016
132,CR200J,CR200J-6017
133,CR200J,CR200J-6019
134,CR200J,CR200J-6020
135,CR200J,CR200J-6021
136,CR200J-B,CR200J-B-2077
137,CR200J-B,CR200J-B-2078
138,CR200J-B,CR200J-B-2079
139,CR200J-B,CR200J-B-2080
140,CR200J-B,CR200J-B-2081
141,CR200J-B,CR200J-B-2084
142,CR200J-C,CR200J-C-5020
143,CR200J-C,CR200J-C-5022
144,CR200J-C,CR200J-C-5023
145,CR200J-C,CR200J-C-5029
146,CR200J-C,CR200J-C-5038
147,CR200J-D,CR200J-D-2801
148,CR200J-D,CR200J-D-2802
149,CR200J-D,CR200J-D-2803
150,CR200J-D,CR200J-D-2804
151,CR200J-D,CR200J-D-2805
152,CR200J-D,CR200J-D-2806
153,CR200J-D,CR200J-D-2807
154,CR200J-D,CR200J-D-2808
155,CR200J-D,CR200J-D-2809
156,CR200J-D,CR200J-D-2817
157,CR200J-D,CR200J-D-2818
158,CR200J-D,CR200J-D-2819
159,CR200J-D,CR200J-D-2820
160,CR200J-D,CR200J-D-2821
161,CR200J1,CR200J1-2033
162,CR200J1,CR200J1-2034
163,CR200J1,CR200J1-2035
164,CR200J1,CR200J1-2043
165,CR200J1,CR200J1-2044
166,CR200J1,CR200J1-2045
167,CR200J1,CR200J1-2047
168,CR200J1,CR200J1-2064
169,CR200J1,CR200J1-2065
170,CR200J1,CR200J1-2068
171,CR200J1,CR200J1-2069
172,CR200J1-C,CR200J1-C-2085
173,CR200J1-C,CR200J1-C-2087
174,CR200J1-C,CR200J1-C-2088
175,CR200J1-C,CR200J1-C-2089
176,CR200J1-C,CR200J1-C-2090
177,CR200J1-C,CR200J1-C-2091
178,CR200J1-C,CR200J1-C-2092
179,CR200J1-C,CR200J1-C-2093
180,CR200J1-C,CR200J1-C-2094
181,CR200J1-C,CR200J1-C-2095
182,CR200J1-C,CR200J1-C-2096
183,CR200J1-C,CR200J1-C-2097
184,CR200J1-C,CR200J1-C-2098
185,CR200J1-C,CR200J1-C-2099
186,CR200J1-C,CR200J1-C-2100
187,CR200J1-C,CR200J1-C-2101
188,CR200J1-C,CR200J1-C-2102
189,CR200J1-C,CR200J1-C-2104
190,CR200J1-C,CR200J1-C-2105
191,CR200J1-C,CR200J1-C-2106
192,CR200J1-C,CR200J1-C-2107
193,CR200J1-C,CR200J1-C-2109
194,CR200J1-C,CR200J1-C-2110
195,CR200J1-C,CR200J1-C-2111
196,CR200J1-C,CR200J1-C-2112
197,CR200J1-C,CR200J1-C-2113
198,CR200J1-C,CR200J1-C-2116
199,CR200J1-C,CR200J1-C-2117
200,CR200J1-C,CR200J1-C-2118
201,CR200J1-C,CR200J1-C-2120
202,CR200J1-C,CR200J1-C-2121
203,CR200J1-C,CR200J1-C-2122
204,CR200J1-C,CR200J1-C-2123
205,CR200J1-C,CR200J1-C-2124
206,CR200J1-C,CR200J1-C-2125
207,CR200J1-C,CR200J1-C-2126
208,CR200J1-C,CR200J1-C-2127
209,CR200J1-C,CR200J1-C-6023
210,CR200J1-C,CR200J1-C-6024
211,CR200J1-C,CR200J1-C-6025
212,CR200J1-C,CR200J1-C-6026
213,CR200J1-C,CR200J1-C-6027
214,CR200J1-C,CR200J1-C-6028
