trainId,stopIdx,stationId,trainCode,arriveDay,arriveTime,startDay,startTime
1,0,131,Z16,0,2112,0,2112
1,1,205,Z16,1,0729,1,0729
2,0,134,4053,0,0555,0,0555
2,1,1139,4053,0,0632,0,0634
2,2,2151,4053,0,0705,0,0707
2,3,2567,4053,0,0729,0,0731
2,4,2410,4053,0,0744,0,0746
2,5,2097,4053,0,0800,0,0820
3,0,2097,4054,0,1530,0,1530
3,1,2567,4054,0,1552,0,1554
3,2,225,4054,0,1606,0,1608
3,3,1399,4054,0,1633,0,1635
3,4,1800,4054,0,1647,0,1649
3,5,1139,4054,0,1704,0,1706
3,6,134,4054,0,1748,0,1748
4,0,131,C101,0,0610,0,0610
4,1,771,C101,0,0726,0,0728
4,2,915,C101,0,0748,0,0750
4,3,2593,C101,0,0811,0,0813
4,4,1308,C101,0,0855,0,0915
4,5,1110,C101,0,0940,0,0942
4,6,1039,C101,0,1008,0,1008
5,0,131,C105,0,1145,0,1145
5,1,1308,C105,0,1412,0,1432
5,2,1039,C105,0,1519,0,1519
6,0,131,C109,0,1520,0,1520
6,1,286,C109,0,1554,0,1556
6,2,771,C109,0,1642,0,1644
6,3,2593,C109,0,1721,0,1724
6,4,1308,C109,0,1806,0,1826
6,5,1039,C109,0,1913,0,1913
7,0,131,C943,0,0744,0,0744
7,1,2593,C943,0,0933,0,0935
7,2,1308,C943,0,1017,0,1037
7,3,1110,C943,0,1102,0,1111
7,4,1039,C943,0,1137,0,1137
8,0,131,Y675,0,1745,0,1745
8,1,1274,Y675,1,0438,1,0503
8,2,2275,Y675,1,0819,1,0838
8,3,1678,Y675,1,1233,1,1233
9,0,131,Y685,0,1745,0,1745
9,1,1274,Y685,1,0438,1,0503
9,2,2275,Y685,1,0819,1,0838
9,3,1678,Y685,1,1233,1,1233
10,0,131,Z204,0,1940,0,1940
10,1,205,Z204,1,0636,1,0636
11,0,131,D6901,0,0940,0,0940
11,1,2697,D6901,0,1001,0,1003
11,2,37,D6901,0,1023,0,1026
11,3,601,D6901,0,1037,0,1040
11,4,602,D6901,0,1050,0,1053
11,5,1968,D6901,0,1130,0,1130
12,0,131,D6913,0,0705,0,0705
12,1,132,D6913,0,0714,0,0717
12,2,601,D6913,0,0756,0,0758
12,3,602,D6913,0,0808,0,0810
12,4,1968,D6913,0,0847,0,0847
13,0,131,D6915,0,0755,0,0755
13,1,132,D6915,0,0804,0,0807
13,2,37,D6915,0,0839,0,0841
13,3,601,D6915,0,0852,0,0854
13,4,1969,D6915,0,0932,0,0934
14,0,131,D6919,0,0850,0,0850
14,1,132,D6919,0,0859,0,0901
14,2,2697,D6919,0,0917,0,0919
14,3,37,D6919,0,0939,0,0941
14,4,602,D6919,0,0958,0,1000
14,5,2241,D6919,0,1015,0,1017
14,6,1968,D6919,0,1043,0,1043
15,0,131,D6921,0,1111,0,1111
15,1,132,D6921,0,1120,0,1123
15,2,2697,D6921,0,1139,0,1142
15,3,602,D6921,0,1215,0,1218
15,4,1969,D6921,0,1250,0,1250
16,0,131,D6923,0,1200,0,1200
16,1,2697,D6923,0,1221,0,1223
16,2,601,D6923,0,1250,0,1252
16,3,602,D6923,0,1302,0,1304
16,4,1968,D6923,0,1341,0,1341
17,0,131,D6925,0,1224,0,1224
17,1,132,D6925,0,1233,0,1235
17,2,37,D6925,0,1307,0,1309
17,3,602,D6925,0,1326,0,1328
17,4,2241,D6925,0,1343,0,1345
17,5,1969,D6925,0,1406,0,1406
18,0,131,D6927,0,1330,0,1330
18,1,132,D6927,0,1339,0,1341
18,2,2697,D6927,0,1357,0,1359
18,3,601,D6927,0,1426,0,1429
18,4,602,D6927,0,1439,0,1441
18,5,2241,D6927,0,1456,0,1458
18,6,1969,D6927,0,1519,0,1520
19,0,131,D6929,0,1425,0,1425
19,1,132,D6929,0,1434,0,1437
19,2,2697,D6929,0,1453,0,1455
19,3,37,D6929,0,1515,0,1517
19,4,602,D6929,0,1534,0,1536
19,5,2241,D6929,0,1551,0,1553
19,6,1968,D6929,0,1619,0,1619
20,0,131,D6933,0,1620,0,1620
20,1,602,D6933,0,1710,0,1713
20,2,2241,D6933,0,1728,0,1731
20,3,1968,D6933,0,1757,0,1753
21,0,131,D6935,0,1700,0,1700
21,1,132,D6935,0,1709,0,1711
21,2,2697,D6935,0,1727,0,1729
21,3,37,D6935,0,1749,0,1751
21,4,601,D6935,0,1802,0,1804
21,5,602,D6935,0,1814,0,1817
21,6,1968,D6935,0,1854,0,1848
22,0,131,D6937,0,1739,0,1739
22,1,132,D6937,0,1748,0,1750
22,2,37,D6937,0,1822,0,1824
22,3,602,D6937,0,1841,0,1843
22,4,2241,D6937,0,1858,0,1901
22,5,1968,D6937,0,1927,0,1921
23,0,131,D6939,0,1915,0,1915
23,1,2697,D6939,0,1936,0,1939
23,2,601,D6939,0,2006,0,2008
23,3,2241,D6939,0,2029,0,2031
23,4,1969,D6939,0,2052,0,2052
24,0,131,D6983,0,0840,0,0840
24,1,37,D6983,0,0917,0,0919
24,2,601,D6983,0,0930,0,0933
24,3,1969,D6983,0,1011,0,1012
25,0,131,D6985,0,0740,0,0740
25,1,132,D6985,0,0749,0,0752
25,2,2697,D6985,0,0808,0,0810
25,3,601,D6985,0,0837,0,0839
25,4,2241,D6985,0,0900,0,0902
25,5,1969,D6985,0,0923,0,0926
26,0,131,D6995,0,2041,0,2041
26,1,37,D6995,0,2118,0,2120
26,2,602,D6995,0,2137,0,2140
26,3,1969,D6995,0,2212,0,2212
27,0,131,D7801,0,1357,0,1357
27,1,1308,D7801,0,1555,0,1555
28,0,131,D7813,0,0823,0,0823
28,1,771,D7813,0,0925,0,0927
28,2,2593,D7813,0,0957,0,0959
28,3,1308,D7813,0,1033,0,1033
29,0,131,D7815,0,0830,0,0830
29,1,286,D7815,0,0859,0,0902
29,2,1807,D7815,0,0919,0,0921
29,3,1308,D7815,0,1041,0,1041
30,0,131,D7817,0,0942,0,0942
30,1,141,D7817,0,1004,0,1006
30,2,915,D7817,0,1103,0,1105
30,3,2593,D7817,0,1122,0,1124
30,4,1308,D7817,0,1158,0,1158
31,0,131,D7821,0,1208,0,1208
31,1,286,D7821,0,1237,0,1239
31,2,1807,D7821,0,1256,0,1258
31,3,771,D7821,0,1322,0,1324
31,4,915,D7821,0,1341,0,1343
31,5,1803,D7821,0,1410,0,1412
31,6,1308,D7821,0,1436,0,1436
32,0,131,D7825,0,1704,0,1704
32,1,771,D7825,0,1806,0,1808
32,2,915,D7825,0,1825,0,1827
32,3,1308,D7825,0,1914,0,1914
33,0,131,D7827,0,1800,0,1800
33,1,1807,D7827,0,1842,0,1844
33,2,771,D7827,0,1908,0,1910
33,3,1308,D7827,0,2010,0,2010
34,0,131,D7829,0,1831,0,1831
34,1,286,D7829,0,1900,0,1902
34,2,771,D7829,0,1939,0,1942
34,3,463,D7829,0,2006,0,2008
34,4,1308,D7829,0,2048,0,2048
35,0,131,D7831,0,1920,0,1920
35,1,286,D7831,0,1949,0,1951
35,2,1308,D7831,0,2124,0,2125
36,0,131,D7833,0,0917,0,0917
36,1,771,D7833,0,1019,0,1022
36,2,1308,D7833,0,1122,0,1122
37,0,131,D7835,0,1415,0,1415
37,1,771,D7835,0,1517,0,1520
37,2,1308,D7835,0,1620,0,1620
38,0,131,D7929,0,1435,0,1435
38,1,1838,D7929,0,1522,0,1524
38,2,2576,D7929,0,1544,0,1546
38,3,1617,D7929,0,1616,0,1621
38,4,1231,D7929,0,1703,0,1705
38,5,2002,D7929,0,1724,0,1726
38,6,1107,D7929,0,1745,0,1747
38,7,1826,D7929,0,1810,0,1812
38,8,1308,D7929,0,1838,0,1840
39,0,131,D7931,0,1445,0,1445
39,1,771,D7931,0,1547,0,1549
39,2,564,D7931,0,1559,0,1601
39,3,1308,D7934,0,1655,0,1700
39,4,1826,D7934,0,1725,0,1725
40,0,131,D7933,0,1130,0,1130
40,1,2420,D7933,0,1228,0,1230
40,2,1128,D7933,0,1257,0,1259
40,3,1617,D7933,0,1311,0,1315
40,4,1516,D7933,0,1345,0,1347
40,5,1231,D7933,0,1403,0,1405
40,6,2002,D7933,0,1424,0,1426
40,7,1107,D7933,0,1445,0,1447
40,8,1826,D7933,0,1510,0,1512
40,9,1308,D7932,0,1538,0,1544
40,10,2593,D7932,0,1617,0,1619
40,11,564,D7932,0,1643,0,1645
40,12,1807,D7932,0,1715,0,1718
40,13,286,D7932,0,1735,0,1738
40,14,130,D7932,0,1808,0,1808
41,0,131,D7935,0,1050,0,1050
41,1,771,D7935,0,1158,0,1200
41,2,2593,D7935,0,1230,0,1232
41,3,1308,D7938,0,1306,0,1312
41,4,1826,D7938,0,1337,0,1337
42,0,131,D7945,0,1342,0,1342
42,1,2593,D7945,0,1510,0,1512
42,2,1308,D7948,0,1546,0,1552
42,3,1826,D7948,0,1618,0,1618
43,0,131,D7951,0,0755,0,0755
43,1,1838,D7951,0,0842,0,0844
43,2,2644,D7951,0,0852,0,0854
43,3,1128,D7951,0,0928,0,0930
43,4,1617,D7951,0,0942,0,0948
43,5,1516,D7951,0,1018,0,1020
43,6,1231,D7951,0,1036,0,1036
44,0,131,D7959,0,1456,0,1456
44,1,286,D7959,0,1525,0,1528
44,2,771,D7959,0,1605,0,1608
44,3,2593,D7959,0,1638,0,1640
44,4,1308,D7959,0,1714,0,1714
45,0,131,D7969,0,0912,0,0912
45,1,1617,D7969,0,1041,0,1045
45,2,2002,D7969,0,1142,0,1143
46,0,131,D7973,0,1600,0,1600
46,1,1617,D7973,0,1729,0,1734
46,2,1231,D7973,0,1816,0,1817
47,0,131,D7977,0,1313,0,1313
47,1,4,D7977,0,1337,0,1339
47,2,2576,D7977,0,1422,0,1424
47,3,1617,D7977,0,1454,0,1458
47,4,1516,D7977,0,1528,0,1530
47,5,1231,D7977,0,1546,0,1548
47,6,2002,D7977,0,1607,0,1609
48,0,131,D7983,0,1510,0,1510
48,1,4,D7983,0,1534,0,1536
48,2,1617,D7983,0,1645,0,1649
48,3,1516,D7983,0,1719,0,1721
48,4,1231,D7983,0,1737,0,1740
48,5,2002,D7983,0,1759,0,1800
49,0,131,D7987,0,1810,0,1810
49,1,2576,D7987,0,1913,0,1915
49,2,1617,D7987,0,1945,0,1950
49,3,1516,D7987,0,2020,0,2023
49,4,1231,D7987,0,2039,0,2043
49,5,2002,D7987,0,2102,0,2101
50,0,131,D8501,0,1415,0,1415
50,1,4,D8501,0,1439,0,1441
50,2,992,D8501,0,1535,0,1537
50,3,1617,D8501,0,1556,0,1557
51,0,131,D8511,0,0554,0,0554
51,1,1128,D8511,0,0715,0,0717
51,2,1617,D8511,0,0729,0,0730
52,0,131,D8513,0,0710,0,0710
52,1,1838,D8513,0,0757,0,0759
52,2,2644,D8513,0,0807,0,0809
52,3,1128,D8513,0,0843,0,0845
52,4,1617,D8513,0,0857,0,0902
52,5,1651,D8513,0,0932,0,0934
52,6,2091,D8513,0,1008,0,1016
53,0,131,D8519,0,1030,0,1030
53,1,4,D8519,0,1100,0,1102
53,2,2420,D8519,0,1140,0,1142
53,3,1617,D8519,0,1217,0,1223
53,4,1651,D8519,0,1253,0,1255
53,5,2175,D8519,0,1319,0,1321
53,6,2091,D8519,0,1334,0,1334
54,0,131,D8531,0,1024,0,1024
54,1,2644,D8531,0,1115,0,1117
54,2,2576,D8531,0,1133,0,1135
54,3,1617,D8531,0,1205,0,1205
55,0,131,D8533,0,1105,0,1105
55,1,2576,D8533,0,1208,0,1210
55,2,1617,D8533,0,1240,0,1241
56,0,131,D8545,0,1641,0,1641
56,1,4,D8545,0,1705,0,1707
56,2,2420,D8545,0,1745,0,1747
56,3,1128,D8545,0,1814,0,1816
56,4,1617,D8545,0,1828,0,1829
57,0,131,D9139,0,0550,0,0550
57,1,37,D9139,0,0627,0,0629
57,2,601,D9139,0,0640,0,0642
57,3,602,D9139,0,0652,0,0655
57,4,1969,D9139,0,0727,0,0730
57,5,1968,D9139,0,0739,0,0739
58,0,1065,K1010,0,1130,0,1130
58,1,2114,K1010,0,1328,0,1338
58,2,1597,K1010,0,1538,0,1546
58,3,2457,K1010,0,1603,0,1605
58,4,127,K1010,0,1721,0,1731
58,5,2714,K1010,0,1758,0,1800
58,6,2193,K1010,0,1838,0,1845
58,7,1088,K1010,0,1936,0,1941
58,8,2106,K1010,0,2010,0,2013
58,9,2097,K1010,0,2116,0,2122
58,10,134,K1010,0,2251,0,2321
58,11,131,K1010,0,2336,0,2344
58,12,326,K1010,1,0236,1,0246
58,13,1896,K1010,1,0359,1,0403
58,14,1447,K1010,1,0451,1,0454
58,15,1924,K1010,1,0517,1,0520
58,16,2076,K1010,1,0716,1,0724
58,17,2172,K1010,1,0740,1,0743
58,18,1595,K1010,1,0818,1,0822
58,19,101,K1010,1,0842,1,0846
58,20,986,K1010,1,0916,1,0919
58,21,843,K1010,1,1007,1,1009
58,22,285,K1010,1,1030,1,1033
58,23,2404,K1010,1,1121,1,1124
58,24,1883,K1010,1,1144,1,1147
58,25,1368,K1010,1,1223,1,1227
58,26,489,K1010,1,1243,1,1243
59,0,2097,K1528,0,0629,0,0629
59,1,134,K1528,0,0801,0,0830
59,2,131,K1528,0,0845,0,0857
59,3,503,K1528,0,1055,0,1058
59,4,326,K1528,0,1155,0,1205
59,5,874,K1528,0,1244,0,1247
59,6,1896,K1528,0,1325,0,1346
59,7,403,K1528,0,1417,0,1420
59,8,1447,K1528,0,1440,0,1443
59,9,1924,K1528,0,1506,0,1509
59,10,2074,K1528,0,1600,0,1611
59,11,2227,K1528,0,1717,0,1736
59,12,2312,K1528,0,1845,0,1909
59,13,2099,K1528,0,2113,0,2122
59,14,2004,K1528,0,2142,0,2208
59,15,804,K1528,1,0030,1,0034
59,16,196,K1528,1,0200,1,0228
59,17,779,K1525,1,0404,1,0445
59,18,163,K1525,1,0544,1,0550
59,19,909,K1525,1,0716,1,0722
59,20,628,K1525,1,0825,1,0827
59,21,1001,K1525,1,0905,1,0905
60,0,131,K5101,0,2128,0,2128
60,1,2097,K5101,0,2308,0,2312
60,2,1308,K5101,1,0410,1,0436
60,3,799,K5101,1,0539,1,0547
60,4,2336,K5101,1,0627,1,0629
60,5,698,K5101,1,0644,1,0646
60,6,752,K5101,1,0742,1,0755
60,7,2236,K5101,1,0847,1,0847
61,0,134,K5103,0,2055,0,2055
61,1,2097,K5103,0,2225,0,2231
61,2,1308,K5103,1,0331,1,0405
61,3,799,K5103,1,0508,1,0524
61,4,698,K5103,1,0605,1,0610
61,5,269,K5103,1,0725,1,0725
62,0,2072,K5131,0,1535,0,1535
62,1,2464,K5131,0,1548,0,1551
62,2,2414,K5131,0,1607,0,1610
62,3,134,K5131,0,1701,0,1713
62,4,1139,K5131,0,1735,0,1737
62,5,1399,K5131,0,1759,0,1801
62,6,2567,K5131,0,1832,0,1834
62,7,2097,K5131,0,1858,0,1904
63,0,2097,K5132,0,0545,0,0545
63,1,2567,K5132,0,0607,0,0609
63,2,1399,K5132,0,0643,0,0645
63,3,1139,K5132,0,0714,0,0716
63,4,134,K5132,0,0742,0,0750
63,5,2414,K5132,0,0849,0,0851
63,6,2464,K5132,0,0907,0,0913
63,7,2072,K5132,0,0927,0,0927
64,0,134,K5133,0,0945,0,0945
64,1,2097,K5133,0,1120,0,1126
64,2,1933,K5133,0,1210,0,1213
64,3,1796,K5133,0,1233,0,1235
64,4,2242,K5133,0,1257,0,1300
64,5,2165,K5133,0,1328,0,1328
65,0,2165,K5134,0,0510,0,0510
65,1,2183,K5134,0,0530,0,0532
65,2,2242,K5134,0,0542,0,0545
65,3,1796,K5134,0,0604,0,0606
65,4,1933,K5134,0,0626,0,0629
65,5,2097,K5134,0,0718,0,0723
65,6,225,K5134,0,0753,0,0755
65,7,134,K5134,0,0859,0,0859
66,0,134,K5149,0,1425,0,1425
66,1,1139,K5149,0,1447,0,1449
66,2,225,K5149,0,1528,0,1530
66,3,2097,K5149,0,1605,0,1623
66,4,2106,K5149,0,1719,0,1724
66,5,1088,K5149,0,1753,0,1759
67,0,1597,K5150,0,0650,0,0650
67,1,2457,K5150,0,0707,0,0709
67,2,660,K5150,0,0732,0,0734
67,3,127,K5150,0,0829,0,0843
67,4,2714,K5150,0,0910,0,0912
67,5,2193,K5150,0,0950,0,1003
67,6,1015,K5150,0,1017,0,1019
67,7,1088,K5150,0,1055,0,1100
67,8,2106,K5150,0,1129,0,1132
67,9,2773,K5150,0,1150,0,1152
67,10,2097,K5150,0,1240,0,1258
67,11,2567,K5150,0,1322,0,1327
67,12,225,K5150,0,1340,0,1355
67,13,134,K5150,0,1458,0,1452
68,0,134,K5151,0,1520,0,1520
68,1,2567,K5151,0,1628,0,1631
68,2,2097,K5151,0,1655,0,1709
68,3,2156,K5151,0,1749,0,1751
68,4,2106,K5151,0,1821,0,1824
68,5,1088,K5151,0,1858,0,1903
68,6,1015,K5151,0,1928,0,1930
68,7,2193,K5151,0,1947,0,1949
68,8,127,K5151,0,2053,0,2100
69,0,127,K5152,0,0420,0,0420
